color,fuelTypeId,id,km,make,makeId,province,provinceId,title,transmissionType,transmissionTypeId,year,brand,brand_id,model,model_id,price,seller_type,bodyType,cubicCapacity,doors,hp,acceleration,consumptionAverage,consumptionExtraUrban,consumptionUrban,emissions,fuelTankCapacity,height,length,luggageCapacity,manufacturerPrice,seats,topSpeed,weight,width
COMMON.COLOR_RED,2,49908253,61424,ALFA ROMEO,1,Málaga,29,ALFA ROMEO Stelvio 2.9 Gasolina 375kW 510CV Quadrifogl Q4 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2019,ALFA ROMEO,1,Stelvio,1217.0,69900,profesional,BODY_TYPE_4X4,2891.0,5.0,510.0,3.8,9.8,8.4,12.3,227.0,64.0,1681.0,4702.0,525.0,106000,5.0,283.0,1830.0,1955.0
COMMON.COLOR_WHITE,1,51365077,100719,ALFA ROMEO,1,Sevilla,41,ALFA ROMEO Giulietta 1.6 JTD 88kW 120CV Super 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Giulietta,872.0,14899,profesional,BODY_TYPE_SEDAN,1598.0,5.0,120.0,10.0,3.9,3.3,4.9,103.0,60.0,1465.0,4351.0,350.0,25610,5.0,195.0,1310.0,1798.0
COMMON.COLOR_RED,1,50424076,86241,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Stelvio 2.2 Diesel 132kW 180CV Stelvio RWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,28990,profesional,BODY_TYPE_4X4,2143.0,5.0,180.0,7.6,4.7,4.3,5.5,124.0,58.0,1671.0,4687.0,525.0,43340,5.0,210.0,1604.0,1903.0
COMMON.COLOR_RED,1,50777719,63275,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Stelvio 2.2 Diesel 154kW 210CV Super Q4 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Stelvio,1217.0,30199,profesional,BODY_TYPE_4X4,2143.0,5.0,210.0,6.6,4.8,4.4,5.5,127.0,58.0,1671.0,4687.0,525.0,48840,5.0,215.0,1659.0,1903.0
COMMON.COLOR_RED,2,51364637,66724,ALFA ROMEO,1,Albacete,2,ALFA ROMEO Giulia 2.0 Gasolina 147kW 200CV Super AT 4p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Giulia,1185.0,27500,profesional,BODY_TYPE_SEDAN,1995.0,4.0,200.0,6.7,5.9,4.6,8.4,138.0,58.0,1436.0,4643.0,480.0,41690,5.0,235.0,1429.0,1860.0
COMMON.COLOR_WHITE,1,51364420,100719,ALFA ROMEO,1,Barcelona,8,ALFA ROMEO Giulietta 1.6 JTD 88kW 120CV Super 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Giulietta,872.0,14899,profesional,BODY_TYPE_SEDAN,1598.0,5.0,120.0,10.0,3.9,3.3,4.9,103.0,60.0,1465.0,4351.0,350.0,25610,5.0,195.0,1310.0,1798.0
COMMON.COLOR_RED,1,51299705,125750,ALFA ROMEO,1,Valencia,46,ALFA ROMEO Stelvio 2.2 Diesel 132kW 180CV Super RWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,23990,profesional,BODY_TYPE_4X4,2143.0,5.0,180.0,7.6,4.7,4.3,5.5,124.0,58.0,1671.0,4687.0,525.0,45340,5.0,210.0,1604.0,1903.0
COMMON.COLOR_GRAY,1,51117600,105990,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Stelvio 2.2 Diesel 132kW 180CV Super RWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,26990,profesional,BODY_TYPE_4X4,2143.0,5.0,180.0,7.6,4.7,4.3,5.5,124.0,58.0,1671.0,4687.0,525.0,45365,5.0,210.0,1604.0,1903.0
COMMON.COLOR_RED,1,51359918,94995,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Giulietta 1.6 JTDm 120cv Distinctive 5p.,COMMON.TRANSMISSION_MANUAL,2,2016,ALFA ROMEO,1,Giulietta,872.0,13490,profesional,BODY_TYPE_SEDAN,1598.0,5.0,120.0,10.0,3.9,3.3,4.9,103.0,60.0,1465.0,4351.0,350.0,25000,5.0,195.0,1310.0,1798.0
COMMON.COLOR_WHITE,1,51364147,67000,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Giulia 2.2 Diesel 132kW 180CV Super AT 4p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Giulia,1185.0,24990,profesional,BODY_TYPE_SEDAN,2143.0,4.0,180.0,6.8,4.2,3.5,5.3,110.0,52.0,1436.0,4643.0,480.0,42040,5.0,230.0,1445.0,1860.0
COMMON.COLOR_WHITE,1,51363922,100719,ALFA ROMEO,1,Valencia,46,ALFA ROMEO Giulietta 1.6 JTD 88kW 120CV Super 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Giulietta,872.0,14899,profesional,BODY_TYPE_SEDAN,1598.0,5.0,120.0,10.0,3.9,3.3,4.9,103.0,60.0,1465.0,4351.0,350.0,25610,5.0,195.0,1310.0,1798.0
COMMON.COLOR_BLACK,1,51363500,205000,ALFA ROMEO,1,Madrid,28,ALFA ROMEO 159 2.0 JTDM 170CV Sport Plus 4p.,COMMON.TRANSMISSION_MANUAL,2,2010,ALFA ROMEO,1,159,60.0,7900,profesional,BODY_TYPE_SEDAN,1956.0,4.0,170.0,8.8,5.4,4.4,7.0,142.0,70.0,1422.0,4660.0,405.0,30180,5.0,218.0,1490.0,1828.0
COMMON.COLOR_RED,1,50073609,76000,ALFA ROMEO,1,Málaga,29,ALFA ROMEO Stelvio 2.2 Diesel 154kW 210CV Executive Q4 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,31900,profesional,BODY_TYPE_4X4,2143.0,5.0,210.0,6.6,4.8,4.4,5.5,127.0,58.0,1671.0,4687.0,525.0,52035,5.0,215.0,1659.0,1903.0
COMMON.COLOR_RED,1,51331840,90600,ALFA ROMEO,1,Barcelona,8,ALFA ROMEO Giulietta 1.6 JTD 88kW 120CV TCT Super 5p.,COMMON.TRANSMISSION_MANUAL,2,2018,ALFA ROMEO,1,Giulietta,872.0,14900,profesional,BODY_TYPE_SEDAN,1598.0,5.0,120.0,10.2,3.9,3.3,4.9,103.0,60.0,1465.0,4351.0,350.0,28170,5.0,195.0,1320.0,1798.0
COMMON.COLOR_BLUE,1,50447332,71335,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Stelvio 2.2 Diesel 154kW 210CV Speciale AWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Stelvio,1217.0,29390,profesional,BODY_TYPE_4X4,2143.0,5.0,210.0,6.6,4.8,4.4,5.5,127.0,58.0,1671.0,4687.0,525.0,53690,5.0,215.0,1659.0,1903.0
COMMON.COLOR_WHITE,2,51303178,104000,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Giulia 2.9T V6 375kW 510CV Quadrifoglio 4p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Giulia,1185.0,57490,profesional,BODY_TYPE_SEDAN,2891.0,4.0,510.0,3.9,8.5,6.0,12.8,198.0,58.0,1426.0,4639.0,480.0,87489,4.0,307.0,1580.0,1873.0
COMMON.COLOR_RED,1,50964625,218489,ALFA ROMEO,1,Sevilla,41,ALFA ROMEO MiTo 1.3 JTDm 95CV SS Distinctive 3p.,COMMON.TRANSMISSION_MANUAL,2,2011,ALFA ROMEO,1,MiTo,907.0,5790,profesional,BODY_TYPE_SEDAN,1248.0,3.0,95.0,11.6,4.3,3.6,5.5,112.0,45.0,1446.0,4063.0,270.0,18310,4.0,180.0,1150.0,1720.0
COMMON.COLOR_GRAY,1,51362618,91100,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Stelvio 2.2 Diesel 132kW 180CV Super RWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,29990,profesional,BODY_TYPE_4X4,2143.0,5.0,180.0,7.6,4.7,4.3,5.5,124.0,58.0,1671.0,4687.0,525.0,46340,5.0,210.0,1604.0,1903.0
COMMON.COLOR_GRAY,1,51362597,91100,ALFA ROMEO,1,Salamanca,37,ALFA ROMEO Stelvio 2.2 Diesel 132kW 180CV Super RWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,29990,profesional,BODY_TYPE_4X4,2143.0,5.0,180.0,7.6,4.7,4.3,5.5,124.0,58.0,1671.0,4687.0,525.0,46340,5.0,210.0,1604.0,1903.0
COMMON.COLOR_WHITE,2,51362580,63550,ALFA ROMEO,1,Zaragoza,50,ALFA ROMEO Stelvio 2.0 Gasolina 147kW 200CV Executive Q4 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,35990,profesional,BODY_TYPE_4X4,1995.0,5.0,201.0,7.2,7.0,5.9,8.9,161.0,64.0,1671.0,4687.0,525.0,50661,5.0,215.0,1660.0,1903.0
COMMON.COLOR_GRAY,1,51362573,91100,ALFA ROMEO,1,Ávila,5,ALFA ROMEO Stelvio 2.2 Diesel 132kW 180CV Super RWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,29990,profesional,BODY_TYPE_4X4,2143.0,5.0,180.0,7.6,4.7,4.3,5.5,124.0,58.0,1671.0,4687.0,525.0,46340,5.0,210.0,1604.0,1903.0
COMMON.COLOR_BLACK,1,48956971,121000,ALFA ROMEO,1,Málaga,29,ALFA ROMEO Giulietta 2.0 JTDm 170cv TCT Distinctive 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2012,ALFA ROMEO,1,Giulietta,872.0,9900,profesional,BODY_TYPE_SEDAN,1956.0,5.0,170.0,7.9,4.5,4.0,5.3,119.0,60.0,1465.0,4351.0,350.0,28897,5.0,218.0,1340.0,1798.0
COMMON.COLOR_RED,1,51268859,39990,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Stelvio 2.2 Diesel 154kW 210CV Super Q4 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Stelvio,1217.0,33990,profesional,BODY_TYPE_4X4,2143.0,5.0,210.0,6.6,4.8,4.4,5.5,127.0,58.0,1671.0,4687.0,525.0,48300,5.0,215.0,1659.0,1903.0
COMMON.COLOR_BLACK,1,51291257,80000,ALFA ROMEO,1,Valladolid,47,ALFA ROMEO Giulia 2.2 Diesel 110kW 150CV Executive AT 4p.,COMMON.TRANSMISSION_MANUAL,2,2018,ALFA ROMEO,1,Giulia,1185.0,18900,profesional,BODY_TYPE_SEDAN,2143.0,4.0,150.0,8.1,4.2,3.5,5.3,110.0,52.0,1436.0,4643.0,480.0,43064,5.0,220.0,1445.0,1860.0
COMMON.COLOR_WHITE,1,51360923,100719,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Giulietta 1.6 JTD 88kW 120CV Super 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Giulietta,872.0,14899,profesional,BODY_TYPE_SEDAN,1598.0,5.0,120.0,10.0,3.9,3.3,4.9,103.0,60.0,1465.0,4351.0,350.0,25610,5.0,195.0,1310.0,1798.0
COMMON.COLOR_BLACK,1,50179331,121000,ALFA ROMEO,1,Málaga,29,ALFA ROMEO Giulietta 2.0 JTDm 170cv TCT Distinctive 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2012,ALFA ROMEO,1,Giulietta,872.0,9900,profesional,BODY_TYPE_SEDAN,1956.0,5.0,170.0,7.9,4.5,4.0,5.3,119.0,60.0,1465.0,4351.0,350.0,28897,5.0,218.0,1340.0,1798.0
COMMON.COLOR_WHITE,2,50575841,23975,ALFA ROMEO,1,Alicante,3,ALFA ROMEO Stelvio 2.9 Gasolina 375kW 510CV Quadrifogl Q4 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2019,ALFA ROMEO,1,Stelvio,1217.0,71950,profesional,BODY_TYPE_4X4,2891.0,5.0,510.0,3.8,9.8,8.4,12.3,222.0,64.0,1681.0,4702.0,525.0,108600,5.0,283.0,1830.0,1955.0
COMMON.COLOR_RED,1,51263110,103425,ALFA ROMEO,1,Alicante,3,ALFA ROMEO Stelvio 2.2 Diesel 154kW 210CV Speciale AWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,31900,profesional,BODY_TYPE_4X4,2143.0,5.0,210.0,6.6,4.8,4.4,5.5,127.0,58.0,1671.0,4687.0,525.0,53690,5.0,215.0,1659.0,1903.0
COMMON.COLOR_RED,1,51182491,75010,ALFA ROMEO,1,Alicante,3,ALFA ROMEO Stelvio 2.2 Diesel 154kW 210CV Speciale AWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Stelvio,1217.0,33500,profesional,BODY_TYPE_4X4,2143.0,5.0,210.0,6.6,4.8,4.4,5.5,127.0,58.0,1671.0,4687.0,525.0,52850,5.0,215.0,1659.0,1903.0
COMMON.COLOR_GRAY,1,51360070,112000,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Giulia 2.2 Diesel 110kW 150CV Executive AT 4p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Giulia,1185.0,26990,profesional,BODY_TYPE_SEDAN,2143.0,4.0,150.0,8.1,4.2,3.5,5.3,110.0,52.0,1436.0,4643.0,480.0,43064,5.0,220.0,1445.0,1860.0
COMMON.COLOR_GRAY,1,51359453,91718,ALFA ROMEO,1,Barcelona,8,ALFA ROMEO Stelvio 2.2 Diesel 140kW 190CV Executive RWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,30500,profesional,BODY_TYPE_4X4,2143.0,5.0,190.0,7.6,5.3,4.8,6.0,139.0,58.0,1671.0,4687.0,525.0,50315,5.0,210.0,1660.0,1903.0
COMMON.COLOR_BLUE,1,51359158,130813,ALFA ROMEO,1,Guadalajara,19,ALFA ROMEO Stelvio 2.2 Diesel 154kW 210CV Super Q4 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Stelvio,1217.0,30490,profesional,BODY_TYPE_4X4,2143.0,5.0,210.0,6.6,4.8,4.4,5.5,127.0,58.0,1671.0,4687.0,525.0,48840,5.0,215.0,1659.0,1903.0
COMMON.COLOR_WHITE,2,51359157,56405,ALFA ROMEO,1,Guadalajara,19,ALFA ROMEO Stelvio 2.0 Petrol 206kW 280CV First Ed.I Q4 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,32490,profesional,BODY_TYPE_4X4,1995.0,5.0,280.0,5.7,7.0,5.9,8.9,161.0,64.0,1688.0,4687.0,525.0,62000,5.0,230.0,1660.0,1903.0
COMMON.COLOR_WHITE,1,50651158,70448,ALFA ROMEO,1,Castellón,12,ALFA ROMEO Giulietta 1.6 JTD 88kW 120CV Super 5p.,COMMON.TRANSMISSION_MANUAL,2,2017,ALFA ROMEO,1,Giulietta,872.0,14500,profesional,BODY_TYPE_SEDAN,1598.0,5.0,120.0,10.0,3.9,3.3,4.9,103.0,60.0,1465.0,4351.0,350.0,25610,5.0,195.0,1310.0,1798.0
COMMON.COLOR_WHITE,1,50651048,70448,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Giulietta 1.6 JTD 88kW 120CV Super 5p.,COMMON.TRANSMISSION_MANUAL,2,2017,ALFA ROMEO,1,Giulietta,872.0,14500,profesional,BODY_TYPE_SEDAN,1598.0,5.0,120.0,10.0,3.9,3.3,4.9,103.0,60.0,1465.0,4351.0,350.0,25610,5.0,195.0,1310.0,1798.0
COMMON.COLOR_BROWN,1,50393499,102068,ALFA ROMEO,1,Alicante,3,ALFA ROMEO Stelvio 2.2 Diesel 154kW 210CV Super Q4 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Stelvio,1217.0,30750,profesional,BODY_TYPE_4X4,2143.0,5.0,210.0,6.6,4.8,4.4,5.5,127.0,58.0,1671.0,4687.0,525.0,48840,5.0,215.0,1659.0,1903.0
COMMON.COLOR_BLACK,1,51323163,20826,ALFA ROMEO,1,Almería,4,ALFA ROMEO Stelvio 2.2 Diesel 118kW 160CV Stelvio RWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2019,ALFA ROMEO,1,Stelvio,1217.0,35900,profesional,BODY_TYPE_4X4,2143.0,5.0,160.0,8.8,5.3,4.8,6.0,138.0,58.0,1671.0,4687.0,525.0,43645,5.0,198.0,1660.0,1903.0
COMMON.COLOR_BLUE,1,50711667,113405,AUDI,4,Sevilla,41,AUDI Q3 Design edition 2.0 TDI 150CV 5p.,COMMON.TRANSMISSION_MANUAL,2,2015,AUDI,4,Q3,999.0,24900,profesional,BODY_TYPE_4X4,1968.0,5.0,150.0,9.6,4.6,4.1,5.3,119.0,64.0,1590.0,4388.0,460.0,35356,5.0,204.0,1560.0,1831.0
COMMON.COLOR_WHITE,1,49578528,162846,AUDI,4,Málaga,29,AUDI A4 2.0 TDI 110kW 150CV ultra Avant 5p.,COMMON.TRANSMISSION_MANUAL,2,2018,AUDI,4,A4,7.0,18890,profesional,BODY_TYPE_FAMILIAR,1968.0,5.0,150.0,9.2,3.8,3.4,4.5,99.0,40.0,1434.0,4725.0,505.0,38106,5.0,210.0,1555.0,1842.0
COMMON.COLOR_WHITE,2,51109772,60025,AUDI,4,Madrid,28,AUDI A3 2.0 TFSI 140kW 190CV Sportback 5p.,COMMON.TRANSMISSION_MANUAL,2,2018,AUDI,4,A3,345.0,28490,profesional,BODY_TYPE_SEDAN,1984.0,5.0,190.0,6.9,5.6,4.6,7.4,128.0,50.0,1426.0,4313.0,380.0,32198,5.0,244.0,1335.0,1785.0
COMMON.COLOR_BLUE,1,51166437,120000,AUDI,4,Madrid,28,AUDI A4 Avant 2.0 TDI 110kW150CV Advanced ed 5p.,COMMON.TRANSMISSION_MANUAL,2,2016,AUDI,4,A4,7.0,19999,profesional,BODY_TYPE_FAMILIAR,1968.0,5.0,150.0,9.2,4.1,3.8,4.9,109.0,40.0,1434.0,4725.0,505.0,39262,5.0,215.0,1550.0,1842.0
COMMON.COLOR_GRAY,1,51166973,150000,AUDI,4,Madrid,28,AUDI A4 Avant 2.0 TDI 110kW150CV sport edition 5p.,COMMON.TRANSMISSION_MANUAL,2,2016,AUDI,4,A4,7.0,19999,profesional,BODY_TYPE_FAMILIAR,1968.0,5.0,150.0,9.2,4.2,3.8,5.0,111.0,40.0,1434.0,4725.0,505.0,41365,5.0,215.0,1550.0,1842.0
COMMON.COLOR_BLACK,1,51166911,80000,AUDI,4,Madrid,28,AUDI A3 1.6 TDI 85kW 116CV Sedan 4p.,COMMON.TRANSMISSION_MANUAL,2,2017,AUDI,4,A3,345.0,19000,profesional,BODY_TYPE_SEDAN,1598.0,4.0,116.0,10.4,4.1,3.8,4.6,104.0,50.0,1416.0,4458.0,425.0,28126,5.0,205.0,1360.0,1796.0
COMMON.COLOR_BLACK,1,51166608,130000,AUDI,4,Madrid,28,AUDI A6 3.0 TDI 160kW S tronic Avant 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,AUDI,4,A6,27.0,24999,profesional,BODY_TYPE_FAMILIAR,2967.0,5.0,218.0,7.3,4.5,4.3,4.8,119.0,73.0,1461.0,4943.0,565.0,55911,5.0,237.0,1835.0,1874.0
